TOPIC,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
image reconstruction,0,0,3,2,0,0,0,5,2,2,1,5,11,8,14,19,10,23,18,22,27,23,21,26,20,36,38,32,43,54,52,69,89,116,93,104,127,120,113
security of data,0,0,9,0,0,0,1,2,0,1,0,4,4,1,3,4,11,14,13,17,15,22,16,31,35,45,42,43,62,54,73,94,69,76,103,88,117,100,95
user experience,0,0,4,5,0,2,4,3,1,2,4,6,8,16,24,14,28,23,23,17,15,16,23,19,38,35,44,37,61,84,57,69,70,86,71,55,93,65,63
communication channels (information theory),0,0,2,0,0,1,0,3,1,0,2,1,8,5,1,3,4,4,5,13,19,17,17,18,20,30,35,35,40,50,44,60,81,87,92,113,118,125,114
three dimensional computer graphics,0,0,2,1,0,0,0,1,1,1,0,5,8,5,13,16,9,18,16,19,23,19,15,22,18,28,30,25,38,44,46,60,75,104,87,90,116,107,101
information retrieval,0,0,25,4,0,2,6,3,4,6,4,4,10,14,13,15,19,21,20,19,29,30,28,30,39,33,41,35,52,66,63,58,68,49,73,59,58,61,62
pattern recognition,0,0,6,6,0,1,5,4,1,4,3,3,11,11,13,5,8,11,10,15,16,29,19,27,26,29,34,31,41,35,53,56,73,87,96,79,90,78,82
software architecture,0,0,10,3,0,7,5,4,3,12,6,8,22,21,22,18,25,26,21,21,30,17,16,19,32,18,37,37,42,42,38,47,35,66,62,50,80,89,100
data mining,0,0,18,5,0,4,5,3,5,5,5,1,9,5,9,3,8,11,8,15,18,15,12,31,36,32,36,27,47,50,60,60,66,57,77,74,85,85,71
experience design,0,0,3,5,0,2,4,3,0,2,4,5,8,13,23,12,28,22,23,15,14,13,16,15,33,28,35,30,49,73,50,63,62,76,59,48,83,58,55
mobile phone,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,2,0,2,3,8,13,7,20,22,25,40,41,53,51,52,66,62,82,92,93,98,96,88
interactive computer graphics,0,0,2,0,0,0,0,0,1,0,0,4,7,2,13,15,8,18,15,18,19,15,13,19,18,24,28,22,35,40,42,50,57,88,67,72,94,84,82
ubiquitous computing,0,0,0,2,0,0,0,1,0,2,0,1,1,1,1,5,7,10,10,24,21,21,16,35,46,59,46,39,43,59,36,60,47,46,44,62,68,71,58
robotics,0,0,6,2,0,2,2,3,1,1,3,0,9,5,8,6,6,6,13,11,18,19,15,14,31,25,18,24,31,47,53,60,57,54,73,63,75,80,93
electronic commerce,0,0,9,2,0,3,2,2,2,2,1,2,7,6,10,3,5,12,6,17,24,18,15,11,23,19,28,25,33,51,35,57,50,63,52,74,79,89,73
data privacy,0,0,4,0,0,0,0,0,0,0,0,3,2,1,0,3,3,6,5,11,8,15,12,25,22,34,35,28,48,36,50,66,52,53,72,61,87,72,66
mobile telecommunication systems,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,7,10,12,10,15,12,20,26,27,30,34,30,36,61,70,77,89,101,101,90
privacy,0,0,4,0,0,0,0,0,0,0,0,3,2,1,0,3,3,6,5,11,8,15,12,25,22,32,34,28,48,35,50,65,49,52,70,60,84,70,64
computer programming,0,0,23,8,0,6,8,13,10,14,11,12,22,19,13,13,13,29,24,13,14,16,15,8,22,19,26,26,20,20,29,32,28,33,25,40,49,59,52
social network,0,0,2,0,0,0,1,1,1,0,0,0,1,1,1,4,6,5,5,3,2,10,2,8,14,17,25,26,33,55,70,70,60,55,54,63,56,66,56
gui,0,0,1,0,0,3,3,10,3,7,4,9,30,21,34,39,23,29,16,26,16,18,22,16,15,23,28,19,22,21,25,31,29,38,31,33,43,43,38
embedded system,0,0,4,1,0,4,2,1,3,5,3,2,7,5,6,4,7,7,10,10,15,13,17,16,22,29,21,22,14,28,33,34,40,50,44,62,62,62,48
gesture recognition,0,0,2,4,0,1,3,2,1,3,2,2,5,7,8,3,4,3,4,7,11,15,13,20,18,18,24,20,20,28,30,39,54,63,67,50,62,53,47
usability engineering,0,0,0,2,0,1,1,3,0,1,3,3,15,16,21,15,22,26,12,18,24,21,32,27,33,28,47,24,33,23,22,27,26,20,20,21,32,16,14
social media,0,0,2,0,0,0,1,1,1,0,0,0,0,1,1,4,6,4,4,2,1,5,0,7,6,8,15,14,17,27,47,65,48,47,63,57,64,56,72
telecommunication traffic,0,0,2,0,0,3,0,1,0,1,1,1,6,7,3,3,4,5,4,15,18,15,10,12,18,29,26,28,25,25,31,32,40,47,30,37,54,50,55
user interface design,0,0,6,3,0,5,8,8,3,19,7,17,30,41,31,26,39,34,34,22,28,12,13,13,21,18,31,18,20,23,12,12,17,8,6,10,12,10,9
information technology,0,0,10,1,0,3,2,0,0,1,3,1,3,3,4,5,10,11,9,10,13,13,13,8,26,16,29,24,39,40,34,38,37,34,36,31,39,38,39
online system,0,0,4,1,0,1,2,0,0,0,1,0,2,0,2,5,6,5,6,7,8,13,10,13,16,21,27,19,25,44,45,44,46,29,35,39,41,42,51
nlp,0,0,15,9,0,4,7,7,5,5,4,5,6,10,11,4,9,6,9,10,10,12,11,15,22,17,25,15,18,21,27,22,36,29,45,30,29,43,46
software process,0,0,11,2,0,3,3,3,3,6,2,4,16,9,15,12,18,13,8,7,16,7,8,9,18,9,29,19,27,22,17,17,14,30,31,33,48,46,49
augmented reality,0,0,0,0,0,0,0,0,0,1,0,1,1,3,2,4,7,9,14,15,15,14,14,15,10,17,18,7,13,19,14,26,25,35,35,46,46,66,84
software development,0,0,8,2,0,3,3,3,2,6,2,3,16,8,15,12,17,13,7,7,15,7,7,8,18,9,29,19,26,21,17,17,14,30,31,33,47,46,47
telephone sets,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,5,5,9,10,12,13,20,15,26,34,58,59,72,71,67,64
interaction technique,0,0,1,0,0,0,0,2,0,2,3,3,5,8,16,8,3,5,8,12,17,13,16,10,21,19,26,22,21,35,26,32,34,32,28,24,35,27,29
robot,0,0,3,1,0,0,0,0,0,1,1,0,5,3,4,4,4,3,7,7,10,14,11,8,26,10,9,13,16,30,25,29,33,37,43,36,34,43,51
data visualization,0,0,0,0,0,0,0,1,0,0,0,3,7,6,14,21,11,17,8,13,8,9,11,11,8,18,16,12,15,14,13,22,23,31,35,37,43,42,35
user centered design,0,0,0,0,0,0,0,0,0,0,2,0,3,2,9,4,7,13,3,11,7,5,12,6,20,32,33,26,32,29,22,27,28,26,33,19,41,23,28
computational linguistics,0,0,9,5,0,1,3,3,5,4,2,3,3,3,5,1,5,6,9,6,6,10,4,17,19,19,19,12,28,18,25,26,35,24,40,31,28,34,32
wearable,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,4,2,9,8,5,6,2,15,10,13,10,10,15,9,19,16,25,43,67,78,65,62
information analysis,0,0,0,0,0,1,1,0,0,0,0,2,7,2,11,15,9,12,8,14,9,13,14,11,9,19,16,15,23,26,22,27,22,32,25,30,40,31,27
embedded software,0,0,1,0,0,1,1,1,2,3,1,1,3,3,4,3,3,4,7,8,12,10,12,12,13,15,13,15,12,16,21,23,28,34,35,48,45,48,25
embedded,0,0,1,0,0,1,1,1,2,3,1,1,3,3,4,3,3,4,7,8,12,10,12,12,13,15,13,15,12,16,21,23,28,34,35,48,45,48,25
mobile robot,0,0,4,1,0,1,1,1,0,0,2,0,5,3,1,5,4,1,5,5,8,3,7,2,20,16,11,14,19,25,32,28,21,25,41,35,37,51,48
groupware,0,0,0,0,0,0,0,1,3,4,1,6,41,15,14,3,22,15,16,18,21,18,23,9,16,13,20,18,23,10,18,13,13,19,8,19,21,10,10
handicapped persons,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,5,55,10,7,16,6,15,4,5,11,17,18,16,16,11,16,22,22,27,19,28,44,37,29
management science,0,0,7,2,0,3,2,2,2,2,0,1,4,3,5,2,2,5,2,6,5,8,5,3,7,10,12,13,19,24,19,32,28,35,25,35,48,50,28
haptic interface,0,0,0,0,0,0,0,1,0,0,0,0,2,1,5,1,7,5,5,3,10,8,6,8,6,11,10,13,20,21,27,32,22,28,31,27,41,40,63
theoretical computer science,0,0,7,8,0,3,6,5,3,9,8,4,13,14,17,14,16,13,8,6,8,11,10,4,9,11,18,4,11,18,17,18,29,23,24,21,16,25,23
facial expression,0,0,2,4,0,1,2,0,1,1,1,1,2,4,4,2,2,2,2,4,9,13,10,18,16,17,21,16,17,21,19,23,28,36,32,21,37,32,32
distributed computer systems,0,0,6,1,0,2,1,6,6,2,2,4,7,7,2,5,6,8,6,8,15,9,8,7,13,11,25,14,10,17,19,30,21,17,20,31,36,27,42
cryptography,0,0,4,0,0,0,0,2,0,1,1,1,3,0,1,0,0,1,4,6,3,5,4,6,9,9,14,16,18,20,30,36,24,28,36,32,40,46,47
multimedia systems,0,0,2,0,0,0,0,0,1,1,0,0,15,2,6,2,3,16,9,14,21,13,15,17,10,20,10,15,15,13,25,21,25,28,27,21,26,22,31
video game,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,4,0,0,2,2,3,7,4,12,8,15,19,11,19,33,58,51,39,59,45,46
smartphone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,10,9,16,27,51,52,69,71,62,61
computer programming languages,0,0,14,4,0,4,7,11,10,11,8,8,10,8,7,7,11,21,13,9,7,9,6,5,11,11,15,11,7,10,9,15,12,20,16,21,24,29,25
image coding,0,0,2,0,0,0,0,2,2,3,2,1,17,3,5,3,5,9,7,7,11,12,11,15,10,12,6,11,12,17,19,21,22,23,27,30,28,30,34
object oriented programming,0,0,5,4,0,2,2,6,4,9,4,8,17,10,9,11,9,22,16,6,11,7,11,4,14,8,13,12,11,11,15,17,19,13,10,17,25,27,21
search engine,0,0,6,1,0,2,3,0,1,0,0,1,4,5,5,6,8,12,8,5,12,12,6,13,9,14,15,10,26,26,24,22,30,19,29,19,11,21,20
haptic,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,7,3,3,2,10,7,6,7,6,10,9,12,17,16,20,25,15,24,28,24,37,36,54
information visualization,0,0,0,0,0,0,0,0,0,0,0,2,6,1,10,15,7,11,7,13,8,8,9,11,7,16,14,9,13,14,11,20,18,26,20,24,29,27,21
cooperative work,0,0,0,0,0,0,0,1,2,2,1,4,40,14,13,3,12,14,15,16,19,13,20,7,14,11,17,12,18,6,11,11,8,13,5,11,13,6,7
computer keyboards,0,0,2,4,0,1,2,0,1,1,1,1,1,3,2,2,2,2,2,2,6,10,7,14,13,12,17,13,15,15,16,20,21,27,22,15,28,23,19
elearning,0,0,1,0,0,0,2,0,0,0,2,1,7,1,6,5,3,9,13,10,10,9,7,9,10,8,13,9,17,11,7,14,26,15,17,17,23,22,31
game design,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,0,0,2,2,2,6,2,8,6,8,10,10,13,26,47,37,29,44,28,37
cognitive systems,0,0,5,1,0,1,2,2,4,4,4,2,16,2,10,6,6,9,6,9,2,5,6,6,15,13,10,11,11,14,12,12,10,12,18,14,9,25,19
image segmentation,0,0,5,1,0,0,1,3,1,1,2,0,5,4,4,2,3,8,6,6,5,14,8,7,12,10,10,11,14,12,13,10,5,17,23,24,19,23,24
information management,0,0,8,0,0,3,2,0,0,0,2,1,3,3,2,3,5,2,2,3,6,6,7,4,13,10,13,12,25,23,23,21,14,12,15,15,22,16,17
display devices,0,0,2,1,0,0,0,2,0,1,1,2,3,1,1,1,4,3,2,1,7,3,4,11,6,8,10,11,10,11,15,20,11,6,15,25,26,37,38
component,0,0,0,1,0,1,4,5,1,3,2,1,5,6,8,7,8,13,5,3,10,12,5,9,13,12,16,10,14,13,7,9,8,15,16,7,12,13,17
multiagent system,0,0,3,1,0,1,1,3,4,3,2,2,2,6,3,4,5,11,4,11,15,9,5,5,10,12,11,13,7,5,9,5,9,17,11,13,18,22,27
graph theory,0,0,2,4,0,3,2,3,0,3,5,3,6,10,11,4,12,9,5,6,3,7,6,3,6,7,14,2,6,8,15,13,25,16,16,11,11,17,8
