LEVEL,,,,,,,,,,,,,,TOTAL,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
4,,,,,visual analytics,,,,,,,,,122,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,3,3,4,3,1,0,1,3,2,2,2,5,3,3,4,4,6,9,11,8,5,14,9,10
5,,,,,,sense making [sense-making],,,,,,,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,1,1,3,3,2,1,2,2
5,,,,,,intelligence analysis,,,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,2,0,0,0,0
6,,,,,,,intelligence analysts,,,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
4,,,,,visual exploration,,,,,,,,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,1,0,2,5,0,0,2
4,,,,,treemap [tree-maps],,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4,,,,,parallel coordinates,,,,,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
4,,,,,graph visualization,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
4,,,,,network visualization,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3,,,,game design,,,,,,,,,,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,0,0,2,2,2,6,2,8,6,8,10,10,13,26,47,37,29,44,28,37
4,,,,,gameplay,,,,,,,,,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,0,4,2,5,7,14,14,8,11,9,12
4,,,,,gamification,,,,,,,,,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,3,5,5,5,12
4,,,,,game designers,,,,,,,,,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,3,4,7,2,1,3,6,6
4,,,,,game experience,,,,,,,,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,2,3,0,6,2,1
3,,,,virtual world [virtual worlds],,,,,,,,,,192,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,1,0,5,4,5,10,5,2,4,5,3,3,5,7,6,17,14,9,4,6,11,12,27,21
4,,,,,avatar [avatars],,,,,,,,,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,4,0,3,1,3,2,4,4,2,8,5,4,4,4,5,7,15,13
4,,,,,massively multiplayer,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,1,1,0,1,0,0,0,0,0,0
4,,,,,3d virtual worlds,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,,,,computer game [computer games],,,,,,,,,,112,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,2,3,3,3,6,9,7,5,5,18,13,8,11,6,6
4,,,,,digital games,,,,,,,,,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,8,9,6,10,4,2
4,,,,,game environment,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,2,1
3,,,,game development,,,,,,,,,,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,1,1,0,4,2,0,1,5,1,3,2,10,7,4,3,3,4,2
4,,,,,game industry,,,,,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1
3,,,,role-playing game,,,,,,,,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,0,1,1,0,1,0,0,2,2,0,0
4,,,,,massively multiplayer,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,1,1,0,1,0,0,0,0,0,0
4,,,,,mmorpg [mmorpgs],,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,,,nintendo wii,,,,,,,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,3,0,0,0,0,1,1
4,,,,,wii remote,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
3,,,,playability,,,,,,,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,4,1,0,2,0,0
3,,,,"mmog [massively multi-player online games, massively multiplayer online games]",,,,,,,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,1,1,0,2,0,0,0,0,0,0
4,,,,,massively multiplayer,,,,,,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,1,1,0,1,0,0,0,0,0,0
3,,,,gaming experiences,,,,,,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,2
3,,,,real-time rendering,,,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
